"stimTest1",,"responseArray1","responseTimeArray1","rtArray1","ansIntact1","ansRearr1","ansNovel1","wasIntact1","wasRearr1","wasNovel1","hitsIntact1","missesIntact1","falseAlarmsIntact1","corRejIntact1","dPrimeIntact1","hitsRearr1","missesRearr1","falseAlarmsRearr1","corRejRearr1","dPrimeRearr1","hitsNovel1","missesNovel1","falseAlarmsNovel1","corRejNovel1","dPrimeNovel1","overallCorrect1","accuracy1",
"splice","boat","0",44.8311,0.050028,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"cloak","crooked","0",45.1818,0.05004,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"warm","tiptoe","0",45.5316,0.050009,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"chemistry","shape","0",45.8822,0.051071,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"greet","stamp","0",46.2318,0.050008,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"field","offense","0",46.5826,0.050938,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"groceries","accept","0",46.9318,0.050029,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"bison","dessert","0",47.2816,0.050025,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"comment","wood","0",47.6316,0.050023,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"clear","wine","0",47.982,0.050028,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"grenade","space","0",48.3334,0.050556,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"mustache","account","0",48.6829,0.050014,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"part","fungus","0",49.0333,0.050176,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"forward","pavement","0",49.4086,0.050026,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"leave","patient","0",49.7813,0.050058,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"broken","mitten","0",50.1281,0.050048,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"strap","sympathy","0",50.5139,0.050032,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"crime","tractor","0",50.85,0.050839,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"freezer","calculate","0",51.1995,0.050038,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"send","tire","0",51.5292,0.050009,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,

